Country	Car	MPG	Weight	Drive_Ratio	Horsepower	Displacement	Cylinders
U.S.	Buick_Estate_Wagon	50.2	4.360	2.73	1	100	8
U.S.	Ford_Country_Squire_Wagon	15.5	4.054	2.26	142	351	8
U.S.	Chevy_Malibu_Wagon	19.2	3.605	2.56	125	267	8
U.S.	Chrysler_LeBaron_Wagon	18.5	3.940	2.45	150	360	8
U.S.	Chevette	30.0	2.155	3.70	68	98	4
Japan	Toyota_Corona	27.5	2.560	3.05	95	134	4
Japan	Datsun_510	27.2	2.300	3.54	97	119	4
U.S.	Dodge_Omni	30.9	2.230	3.37	75	105	4
Germany	Audi_5000	20.3	2.830	3.90	103	131	5
Sweden	Volvo_240_GL	17.0	3.140	3.50	125	163	6
Sweden	Saab_99_GLE	21.6	2.795	3.77	115	121	4
France	Peugeot_694_SL	16.2	3.410	3.58	133	163	6
U.S.	Buick_Century_Special	20.6	3.380	2.73	105	231	6
U.S.	Mercury_Zephyr	20.8	3.070	3.08	85	200	6
U.S.	Dodge_Aspen	18.6	3.620	2.71	110	225	6
U.S.	AMC_Concord_D/L	18.1	3.410	2.73	120	258	6
U.S.	Chevy_Caprice_Classic	17.0	3.840	2.41	130	305	8
U.S.	Ford_LTD	17.6	3.725	2.26	129	302	8
U.S.	Mercury_Grand_Marquis	16.5	3.955	2.26	138	351	8
U.S.	Dodge_St_Regis	18.2	3.830	2.45	135	318	8
U.S.	Ford_Mustang_4	26.5	2.585	3.08	88	140	4
U.S.	Ford_Mustang_Ghia	21.9	2.910	3.08	109	171	6
Japan	Mazda_GLC	34.1	1.975	3.73	65	86	4
Japan	Dodge_Colt	35.1	1.915	2.97	80	98	4
U.S.	AMC_Spirit	27.4	2.670	3.08	80	121	4
Germany	VW_Scirocco	31.5	1.990	3.78	71	89	4
Japan	Honda_Accord_LX	29.5	2.135	3.05	68	98	4
U.S.	Buick_Skylark	28.4	2.670	2.53	90	151	4
U.S.	Chevy_Citation	28.8	2.595	2.69	115	173	6
U.S.	Olds_Omega	26.8	2.700	2.84	115	173	6
U.S.	Pontiac_Phoenix	33.5	2.556	2.69	90	151	4
U.S.	Plymouth_Horizon	34.2	2.200	3.37	70	105	4
Japan	Datsun_210	31.8	2.020	3.70	65	85	4
Italy	Fiat_Strada	37.3	2.130	3.10	69	91	4
Germany	VW_Dasher	30.5	2.190	3.70	78	97	4
Japan	Datsun_810	22.0	2.815	3.70	97	146	6
Germany	BMW_320i	21.5	2.600	3.64	110	121	4
Germany	VW_Rabbit	31.9	1.925	3.78	71	89	4
